Years,GDP,County,State
2008,35284008000,Dallas-Fort Worth Metroplex,TX
2009,34305345000,Dallas-Fort Worth Metroplex,TX
2010,35555783000,Dallas-Fort Worth Metroplex,TX
2011,38680585000,Dallas-Fort Worth Metroplex,TX
2012,42783345000,Dallas-Fort Worth Metroplex,TX
2013,45802461000,Dallas-Fort Worth Metroplex,TX
2014,49391015000,Dallas-Fort Worth Metroplex,TX
2015,54272173000,Dallas-Fort Worth Metroplex,TX
2016,59040759000,Dallas-Fort Worth Metroplex,TX
2017,62382907000,Dallas-Fort Worth Metroplex,TX
2018,67473821000,Dallas-Fort Worth Metroplex,TX
2019,70230922000,Dallas-Fort Worth Metroplex,TX
2020,73343347000,Dallas-Fort Worth Metroplex,TX
2021,81760030000,Dallas-Fort Worth Metroplex,TX
2008,177509983000,Dallas-Fort Worth Metroplex,TX
2009,169954753000,Dallas-Fort Worth Metroplex,TX
2010,175922558000,Dallas-Fort Worth Metroplex,TX
2011,186098537000,Dallas-Fort Worth Metroplex,TX
2012,194258511000,Dallas-Fort Worth Metroplex,TX
2013,202873765000,Dallas-Fort Worth Metroplex,TX
2014,212506527000,Dallas-Fort Worth Metroplex,TX
2015,225699260000,Dallas-Fort Worth Metroplex,TX
2016,234917343000,Dallas-Fort Worth Metroplex,TX
2017,243957822000,Dallas-Fort Worth Metroplex,TX
2018,258408150000,Dallas-Fort Worth Metroplex,TX
2019,274306259000,Dallas-Fort Worth Metroplex,TX
2020,273035071000,Dallas-Fort Worth Metroplex,TX
2021,300392599000,Dallas-Fort Worth Metroplex,TX
2008,19049288000,Dallas-Fort Worth Metroplex,TX
2009,18241309000,Dallas-Fort Worth Metroplex,TX
2010,18954206000,Dallas-Fort Worth Metroplex,TX
2011,20049454000,Dallas-Fort Worth Metroplex,TX
2012,21336311000,Dallas-Fort Worth Metroplex,TX
2013,23347108000,Dallas-Fort Worth Metroplex,TX
2014,25757544000,Dallas-Fort Worth Metroplex,TX
2015,27554092000,Dallas-Fort Worth Metroplex,TX
2016,29651421000,Dallas-Fort Worth Metroplex,TX
2017,32263203000,Dallas-Fort Worth Metroplex,TX
2018,34291593000,Dallas-Fort Worth Metroplex,TX
2019,37018080000,Dallas-Fort Worth Metroplex,TX
2020,39511365000,Dallas-Fort Worth Metroplex,TX
2021,44566930000,Dallas-Fort Worth Metroplex,TX
2008,83686071000,Dallas-Fort Worth Metroplex,TX
2009,81325594000,Dallas-Fort Worth Metroplex,TX
2010,84754514000,Dallas-Fort Worth Metroplex,TX
2011,87806475000,Dallas-Fort Worth Metroplex,TX
2012,93070603000,Dallas-Fort Worth Metroplex,TX
2013,96537389000,Dallas-Fort Worth Metroplex,TX
2014,100391355000,Dallas-Fort Worth Metroplex,TX
2015,102881682000,Dallas-Fort Worth Metroplex,TX
2016,105218426000,Dallas-Fort Worth Metroplex,TX
2017,111190349000,Dallas-Fort Worth Metroplex,TX
2018,119073037000,Dallas-Fort Worth Metroplex,TX
2019,125016000000,Dallas-Fort Worth Metroplex,TX
2020,120035405000,Dallas-Fort Worth Metroplex,TX
2021,132317367000,Dallas-Fort Worth Metroplex,TX
